FILENAME,TABLENAME,PVO_NAME,BICC_BATCH_NAME,CLUSTER_FIELDS,PARTITION_BY_TIME,PARTITION_BY_INTEGER,PK_TABLE,INC_TABLE,IEI_TABLE
file_fscmtopmodelam_finextractam_glbiccextractam_journallineextractpvo,FSCM_FIN_GL_JOURNAL_LINE_EXTRACT,fscmtopmodelam.finextractam.glbiccextractam.journallineextractpvo,FSC-LONG2,,,,PK_FSCM_FIN_GL_JOURNAL_LINE_EXTRACT,INC_FSCM_FIN_GL_JOURNAL_LINE_EXTRACT,IEI_FSCM_FIN_GL_JOURNAL_LINE_EXTRACT
file_fscmtopmodelam_finextractam_xlabiccextractam_subledgerjournaldistributionextractpvo,FSCM_FIN_XLA_SUBLEDGER_JOURNAL_DISTRIBUTION_EXTRACT,fscmtopmodelam.finextractam.xlabiccextractam.subledgerjournaldistributionextractpvo,SLDG-FULL,,,,PK_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_DISTRIBUTION_EXTRACT,INC_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_DISTRIBUTION_EXTRACT,IEI_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_DISTRIBUTION_EXTRACT
file_fscmtopmodelam_finextractam_xlabiccextractam_subledgerjournalheaderextractpvo,FSCM_FIN_XLA_SUBLEDGER_JOURNAL_HEADER_EXTRACT,fscmtopmodelam.finextractam.xlabiccextractam.subledgerjournalheaderextractpvo,FSC-LONG4,,,,PK_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_HEADER_EXTRACT,INC_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_HEADER_EXTRACT,IEI_FSCM_FIN_XLA_SUBLEDGER_JOURNAL_HEADER_EXTRACT
file_fscmtopmodelam_prjextractam_pjcbiccextractam_projectcostdistributionextractpvo,FSCM_PRJ_PJC_PROJECT_COST_DISTRIBUTION_EXTRACT,fscmtopmodelam.prjextractam.pjcbiccextractam.projectcostdistributionextractpvo,FSC-LONG6,,,,PK_FSCM_PRJ_PJC_PROJECT_COST_DISTRIBUTION_EXTRACT,INC_FSCM_PRJ_PJC_PROJECT_COST_DISTRIBUTION_EXTRACT,IEI_FSCM_PRJ_PJC_PROJECT_COST_DISTRIBUTION_EXTRACT
file_fscmtopmodelam_prjextractam_pjbbiccextractam_revenuedistributionextractpvo,FSCM_PRJ_REVENUE_DISTRIBUTION_EXTRACT,fscmtopmodelam.prjextractam.pjbbiccextractam.revenuedistributionextractpvo,FSC-FULL,,,,PK_FSCM_PRJ_REVENUE_DISTRIBUTION_EXTRACT,INC_FSCM_PRJ_REVENUE_DISTRIBUTION_EXTRACT,IEI_FSCM_PRJ_REVENUE_DISTRIBUTION_EXTRACT
file_fscmtopmodelam_finextractam_xlabiccextractam_subledgermappingsetvalueextractpvo,FSCM_XLA_SUBLEDGER_MAPPING_SET_VALUE_EXTRACT,fscmtopmodelam.finextractam.xlabiccextractam.subledgermappingsetvalueextractpvo,FSC-FULL,,,,PK_FSCM_XLA_SUBLEDGER_MAPPING_SET_VALUE_EXTRACT,INC_FSCM_XLA_SUBLEDGER_MAPPING_SET_VALUE_EXTRACT,IEI_FSCM_XLA_SUBLEDGER_MAPPING_SET_VALUE_EXTRACT
file_fscmtopmodelam_revenuedistributionam_revenuedistributionpvo,FSCM_REVENUE_DISTRIBUTION,fscmtopmodelam.revenuedistributionam.revenuedistributionpvo,FSC-FULL,,,,PK_FSCM_REVENUE_DISTRIBUTION,INC_FSCM_REVENUE_DISTRIBUTION,IEI_FSCM_REVENUE_DISTRIBUTION
file_fscmtopmodelam_accountbiam_flex_bi_account_vi,FSCM_ACCOUNTBI_FLEX_BI_ACCOUNT_VI,fscmtopmodelam.accountbiam.flex_bi_account_vi,FSC-FULL,,,,PK_FSCM_ACCOUNTBI_FLEX_BI_ACCOUNT_VI,INC_FSCM_ACCOUNTBI_FLEX_BI_ACCOUNT_VI,IEI_FSCM_ACCOUNTBI_FLEX_BI_ACCOUNT_VI
file_fscmtopmodelam_accountbiam_flex_tree_vs_fa_cost_ctr_vi,FSCM_ACCOUNTBI_FLEX_TREE_VS_FA_COST_CTR_VI,fscmtopmodelam.accountbiam.flex_tree_vs_fa_cost_ctr_vi,FSC-FULL,,,,PK_FSCM_ACCOUNTBI_FLEX_TREE_VS_FA_COST_CTR_VI,INC_FSCM_ACCOUNTBI_FLEX_TREE_VS_FA_COST_CTR_VI,IEI_FSCM_ACCOUNTBI_FLEX_TREE_VS_FA_COST_CTR_VI
file_fscmtopmodelam_accountbiam_flex_tree_vs_gl_account_vi,FSCM_ACCOUNTBI_FLEX_TREE_VS_GL_ACCOUNT_VI,fscmtopmodelam.accountbiam.flex_tree_vs_gl_account_vi,FSC-FULL,,,,PK_FSCM_ACCOUNTBI_FLEX_TREE_VS_GL_ACCOUNT_VI,INC_FSCM_ACCOUNTBI_FLEX_TREE_VS_GL_ACCOUNT_VI,IEI_FSCM_ACCOUNTBI_FLEX_TREE_VS_GL_ACCOUNT_VI
